Lambda,S,P,Error,Expected
0.01,0.010000000000000005,0.9980151489359051,4.877073275959363e-06,0.9975
0.26,0.2600000000000001,0.9360417790582387,0.0001491103442345651,0.935
0.51,0.5100000000000002,0.870563165156725,0.00034750131867546786,0.8725
0.76,0.7600000000000001,0.797128836777292,0.0005433496884715791,0.81
1.01,1.01,0.7314329564728106,0.0008204859766821257,0.7475
1.26,1.2599999999999993,0.6670005943298412,0.0006221186277253759,0.685
1.51,1.5099999999999993,0.6155887669770105,0.0007955771115168722,0.6225
1.76,1.7600000000000005,0.5513496496748784,0.001033466464101232,0.56
2.01,2.0100000000000002,0.49991379308355677,0.0013275446206108793,0.49751243781094534
2.26,2.26,0.4319185522057428,0.0013847405662004901,0.4424778761061947
2.51,2.5100000000000002,0.37689454252163773,0.0013940166078377943,0.39840637450199207
2.76,2.759999999999999,0.3401509438038315,0.0013436036832262547,0.3623188405797102
3.01,3.0100000000000007,0.31689699775852453,0.0011908793891479191,0.33222591362126247
3.26,3.259999999999999,0.29241706203258006,0.0011503498883815783,0.3067484662576687
3.51,3.51,0.28139959003646037,0.0011370514753456385,0.2849002849002849
3.76,3.760000000000001,0.2674086582418064,0.001250230002907578,0.26595744680851063
4.01,4.009999999999999,0.2685488669428714,0.0013286626430473632,0.24937655860349128
4.26,4.260000000000001,0.25423269384092156,0.0013069131876082406,0.2347417840375587
4.51,4.509999999999999,0.23781532443862333,0.001216809034346138,0.22172949002217296
4.76,4.759999999999998,0.23332246740700907,0.0013455080352793788,0.21008403361344538
