Lambda,S,P,Error,Expected
0.01,0.010000000000000005,-0.9828522747804266,4.9771235259101285e-05,-0.9776496875000001
0.26,0.2600000000000001,-0.5092588433943337,0.001072018814087723,-0.5109075000000001
0.51,0.5100000000000002,-0.19428786860067732,0.0010502122527581172,-0.2011965625
0.76,0.7600000000000001,-0.007602299580011548,0.0010950965566235836,-0.01922000000000002
1.01,1.01,0.0645477749602387,0.0014175421844166648,0.06431906249999998
1.26,1.2599999999999993,0.07203197365207294,0.0016288203782031658,0.0787175
1.51,1.5099999999999993,0.0373279443117809,0.0016135010956581917,0.05327218749999999
1.76,1.7600000000000005,-0.01739686296696012,0.0016257816498845494,0.017280000000000004
2.01,2.0100000000000002,-0.03052410110865963,0.0012641110287489796,0.0
2.26,2.26,-0.02994491371362088,0.0018848436821603813,0.0
2.51,2.5100000000000002,-0.02382820955103528,0.0018141267706816224,0.0
2.76,2.759999999999999,-0.03412717533169831,0.00179842678038625,0.0
3.01,3.0100000000000007,-0.04753142409828765,0.002340796507396609,0.0
3.26,3.259999999999999,-0.028868064781014606,0.002178267054071778,0.0
3.51,3.51,-0.04514186568071254,0.002166374614599042,0.0
3.76,3.760000000000001,-0.03764835475462772,0.0022222178008193647,0.0
4.01,4.009999999999999,-0.05095309346957413,0.002330037240643554,0.0
4.26,4.260000000000001,-0.04465033995606283,0.002164720713375739,0.0
4.51,4.509999999999999,-0.04634841162604988,0.0022337152140242855,0.0
4.76,4.759999999999998,-0.049327387295699014,0.002247322231132707,0.0
