Lambda,S,P,Error,Expected
0.01,0.010000000000000005,0.991990641979661,2.4510255551504394e-05,0.990025
0.26,0.2600000000000001,0.7583234563108133,0.000497644535974594,0.7569
0.51,0.5100000000000002,0.5540991191679364,0.0008607383896667351,0.555025
0.76,0.7600000000000001,0.34346311242317834,0.0009834443344495557,0.3844
1.01,1.01,0.2200305078205417,0.001172073452269959,0.245025
1.26,1.2599999999999993,0.11125990080783656,0.0011882650293845913,0.1369
1.51,1.5099999999999993,0.07320145594560816,0.0009763630255689067,0.060024999999999995
1.76,1.7600000000000005,0.06230781865608083,0.00100305557778056,0.0144
2.01,2.0100000000000002,0.05214216383195121,0.0011862330662858664,0.0
2.26,2.26,0.044519341017027904,0.0011094769661847174,0.0
2.51,2.5100000000000002,0.04067602433083258,0.000981728245801628,0.0
2.76,2.759999999999999,0.04133612395567405,0.0009828252105941351,0.0
3.01,3.0100000000000007,0.03849695135181691,0.0009260391114860957,0.0
3.26,3.259999999999999,0.04454661105117601,0.001075475676636166,0.0
3.51,3.51,0.0453542767079046,0.0010236299643431182,0.0
3.76,3.760000000000001,0.04491635777144363,0.0009852235168381766,0.0
4.01,4.009999999999999,0.04096977524237752,0.0009735282515035683,0.0
4.26,4.260000000000001,0.044271127171525246,0.0010472528660962867,0.0
4.51,4.509999999999999,0.04664959335562772,0.0010763554040558428,0.0
4.76,4.759999999999998,0.04703324202135346,0.001075692866398753,0.0
